               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.024805,             0.11853,                   0,             0.86743,             0.93004,             0.93105,             0.66787,            0.024064,             0.11733,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.024715,             0.11574,                   0,             0.86316,             0.93894,             0.93183,             0.66875,            0.024275,             0.11812,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.024723,             0.12053,                   0,             0.87334,             0.93093,             0.93194,              0.6676,             0.02456,             0.11966,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.024677,             0.11794,                   0,             0.87317,             0.93723,             0.93395,             0.67145,            0.024257,             0.11716,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.024847,             0.11657,                   0,              0.8886,             0.91792,              0.9318,             0.66878,            0.024186,             0.11911,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.02442,             0.11422,                   0,             0.87668,             0.93222,             0.92864,             0.66183,            0.024635,             0.11801,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.024444,             0.11397,                   0,             0.88089,             0.92192,             0.92867,             0.66908,            0.024047,             0.11655,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024495,              0.1132,                   0,             0.88187,             0.92292,             0.93269,             0.67306,            0.023746,             0.11449,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023893,             0.10994,                   0,             0.88203,             0.92054,             0.93354,             0.67253,            0.023695,              0.1161,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.023757,             0.11139,                   0,             0.88362,             0.91202,             0.93029,             0.66867,            0.023815,             0.11721,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.024552,             0.11511,                   0,             0.88378,             0.91291,             0.92879,             0.66611,            0.024093,              0.1184,                   0,            0.000595,            0.000595,            0.000595
